customerID,gender,tenure,MonthlyCharges,TotalCharges,Churn
C0000,Male,63,43.68179417418715,8109.222190135946,No
C0001,Female,18,68.71934760102332,7777.879757849844,Yes
C0002,Male,44,48.68958760131051,3157.6860955666793,No
C0003,Male,34,47.0537304265017,149.10302139785352,No
C0004,Male,62,21.762468630162346,7891.998047869087,No
C0005,Female,14,80.17556206594948,3649.85794602746,No
C0006,Male,48,69.27326036934387,8217.166175128405,Yes
C0007,Male,15,23.250832627498916,8191.4246456710425,No
C0008,Male,72,46.421939352134366,7253.2262012741485,No
C0009,Female,62,110.64312036859867,2515.515502534226,No
C0010,Male,40,42.43531284803119,3284.39893400153,No
C0011,Male,53,32.77927695330476,7237.34124780598,No
C0012,Male,24,67.92418154831142,2706.132447735547,Yes
C0013,Male,26,118.53634631928128,1455.6374773914365,Yes
C0014,Female,60,42.689637694173044,4740.788308171726,No
C0015,Male,41,86.55782583539961,7958.464794431744,Yes
C0016,Female,29,95.6852007635292,5921.724735397121,No
C0017,Female,15,42.23902948722477,4853.2588446979935,No
C0018,Female,45,92.27806755840967,842.2510201636587,No
C0019,Male,65,55.51387953736383,5234.491296862358,No
C0020,Female,71,82.4951947205451,8415.636756584361,No
C0021,Male,9,82.62003049761125,1206.1926172361968,No
C0022,Female,1,72.64901777562537,4414.472111349215,No
C0023,Female,8,27.209556545549646,7459.878396092918,No
C0024,Female,63,103.20085455010228,6301.199415791162,No
C0025,Female,11,50.719566627117054,5930.087515121863,No
C0026,Female,8,37.02488806078513,5976.470000378661,No
C0027,Female,35,22.15906443858592,3067.2039446459635,Yes
C0028,Female,35,78.27108020520066,2508.2460230514325,Yes
C0029,Female,33,87.11156490791281,6883.0013207687525,Yes
C0030,Male,5,19.691958550641328,6889.381813668811,Yes
C0031,Male,41,70.23349194652667,7372.50740619644,Yes
C0032,Female,28,41.10256907018967,7764.10636678399,No
C0033,Female,7,83.80762462176389,4355.206227138475,Yes
C0034,Female,72,35.785375758509126,4271.861211536827,No
C0035,Male,12,88.47564928645153,6789.139707996187,No
C0036,Female,34,57.44700532265482,5530.994060857004,Yes
C0037,Male,33,113.54645885114692,5972.0830528998395,No
C0038,Male,48,32.02713630289131,6767.913422157009,No
C0039,Male,23,52.78876780712637,7567.025309296598,Yes
C0040,Male,62,29.574299166540087,2884.8749204147266,No
C0041,Male,37,112.31874906441341,3203.694604292005,No
C0042,Female,44,107.48861404486006,815.1548137302509,No
C0043,Female,35,44.31004602694587,4922.972155929548,No
C0044,Female,65,85.31837269548626,322.86236634396636,No
C0045,Female,47,101.35666442052401,3967.202389799527,No
C0046,Female,3,74.63048278314515,4620.711791589665,Yes
C0047,Male,1,72.02435899231267,2448.4429005521083,No
C0048,Female,5,42.66893367184608,5029.447716146349,No
C0049,Female,14,27.49648231620172,276.70311998301725,No
C0050,Male,27,109.51600731123933,334.7873369708367,No
C0051,Female,9,109.8426418306597,6995.2979555152215,No
C0052,Male,15,82.57634864187332,3073.137020450332,No
C0053,Female,42,52.58103868696747,1095.7272683132867,No
C0054,Male,51,53.61937661049141,4447.667331784851,No
C0055,Female,63,92.04747924476442,6549.085317382417,No
C0056,Female,52,109.50524651516287,1848.5939552282239,No
C0057,Male,4,108.48281527504196,5301.3570158967605,No
C0058,Male,23,97.54730567747764,741.9171980771401,No
C0059,Male,15,83.48722790773735,456.3643589521305,Yes
C0060,Male,43,26.582276429494982,4524.949984961031,No
C0061,Male,29,34.486128837650604,4603.667101496923,No
C0062,Male,36,109.65252722976209,5424.680424507788,No
C0063,Male,13,79.85576408527817,6176.706692635616,No
C0064,Male,32,18.938099264896223,8295.177338001218,No
C0065,Female,71,28.350097372335277,4397.259554290738,No
C0066,Female,59,85.67718044902169,2757.3168034876485,Yes
C0067,Male,28,18.516281552314307,6762.769304028145,No
C0068,Female,66,34.40242124458486,2315.1991552049135,Yes
C0069,Female,42,73.97084651539178,3741.3555904252053,No
C0070,Female,45,88.57331016465471,683.4670265450999,No
C0071,Female,62,84.50004846926525,233.0250056499106,No
C0072,Male,57,40.875469564977095,8183.18385329816,No
C0073,Female,6,90.64228057744866,7108.78338218453,No
C0074,Male,28,42.19940692467361,5921.253216086746,No
C0075,Female,28,51.19076921224531,3486.7388745218373,No
C0076,Female,44,94.14212332203846,1487.882422840914,No
C0077,Female,30,84.2625557028159,1344.8989959361518,No
C0078,Male,62,104.62078787040615,2140.5602622320976,No
C0079,Female,62,85.07651501463502,4676.540570037314,No
C0080,Male,1,75.96747754021811,6079.202616341929,No
C0081,Female,27,27.55482631846543,5617.794149319797,Yes
C0082,Male,62,55.50701191206222,2392.399313895487,No
C0083,Female,3,45.050641503536,8117.167310585212,Yes
C0084,Male,70,42.88694362466653,6276.841647413508,No
C0085,Male,72,117.24707658474945,4720.0310734017,No
C0086,Female,27,58.09596791600956,5206.615369559776,No
C0087,Male,9,108.98874862806555,3577.047729512514,No
C0088,Female,62,82.37613985172081,2119.254252948818,Yes
C0089,Female,37,99.07075296124813,3037.3602603200006,Yes
C0090,Female,51,69.26898349672959,6446.050708958779,No
C0091,Female,44,76.84419623188863,140.08557055758928,No
C0092,Female,24,68.23680476952413,1002.5281367796636,Yes
C0093,Female,59,37.91478475540054,408.19440962850683,Yes
C0094,Female,32,91.69011575667355,363.4617012695047,No
C0095,Female,52,46.63878096896729,7274.016673581364,Yes
C0096,Female,62,20.48022857600829,5986.425963261361,No
C0097,Female,58,83.83817418253112,4039.9424183186925,No
C0098,Female,52,36.065289299518994,847.8293506417946,Yes
C0099,Male,12,113.92677560399726,4187.885852740972,Yes
